INFO  - 2013-10-14 15:17:20.494; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-10-14 15:17:20.512; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/contexts at interval 0
INFO  - 2013-10-14 15:17:20.517; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/contexts/solr-jetty-context.xml
INFO  - 2013-10-14 15:17:20.562; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/webapps/solr.war!/ to /Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/solr-webapp/webapp
INFO  - 2013-10-14 15:17:21.866; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-10-14 15:17:21.894; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-10-14 15:17:21.911; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-10-14 15:17:21.912; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-10-14 15:17:21.912; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-10-14 15:17:22.001; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/solr/solr.xml
INFO  - 2013-10-14 15:17:22.127; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2013-10-14 15:17:22.132; org.apache.solr.core.CoreContainer; New CoreContainer 1654838275
INFO  - 2013-10-14 15:17:22.133; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2013-10-14 15:17:22.145; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-10-14 15:17:22.145; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-10-14 15:17:22.145; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-10-14 15:17:22.147; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-10-14 15:17:22.147; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-10-14 15:17:22.147; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-10-14 15:17:22.147; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-10-14 15:17:22.148; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-10-14 15:17:22.148; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-10-14 15:17:22.153; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2013-10-14 15:17:22.272; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2013-10-14 15:17:22.273; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2013-10-14 15:17:22.437; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/solr
INFO  - 2013-10-14 15:17:22.449; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/solr/collection1/
INFO  - 2013-10-14 15:17:22.449; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
